# {"t_start": 1597490725.952815, "env_id": "HopperBulletEnv-v0"} 
r,l,t
16.396312,15,55.1972
20.261025,11,55.217591
21.019176,13,55.240175
17.061257,15,55.267998
16.857796,6,55.280702
12.34735,11,55.302124
16.497431,6,55.317048
13.403071,11,55.339815
16.992221,7,55.357848
12.334945,10,55.408658
18.504404,9,56.272759
18.893168,7,56.285468
17.264882,6,56.296272
14.120369,11,56.316147
19.496147,17,56.346038
17.401278,9,56.362124
17.724366,7,56.375861
20.535323,12,56.399277
17.053515,8,56.415352
17.619952,7,56.428926
17.626178,6,56.439769
19.079843,8,56.45403
17.248856,10,56.472583
14.953885,10,56.490191
15.634226,7,56.502906
16.481791,12,56.523657
18.328421,8,56.537751
14.579293,14,56.562236
16.531877,5,56.571557
15.016082,7,56.584223
17.277275,10,56.602162
18.645402,12,56.622991
19.757964,23,56.662512
16.536289,13,56.685712
15.863895,9,56.701848
15.894934,8,56.716504
14.246004,8,56.731392
16.691289,7,56.744163
21.474927,13,56.768234
16.079906,5,56.777935
18.049964,7,56.79017
16.777127,13,56.813061
17.746878,12,56.833765
16.856969,7,56.847144
13.690651,12,56.868532
15.286512,6,56.879298
15.367551,7,56.892764
21.285256,11,56.912935
19.970297,9,56.929551
16.465631,8,56.943602
18.107011,10,56.961335
17.460221,9,56.977916
18.152483,11,56.9983
9.894967,13,57.020656
21.702553,8,57.035049
13.945826,10,57.058934
17.93425,25,57.108288
17.460947,12,57.133899
17.838584,8,57.147549
21.213789,7,57.160599
17.164818,8,57.190946
18.674927,11,57.2305
20.499565,10,57.263155
17.508795,8,57.303281
18.083358,10,57.343071
18.262372,11,57.425989
18.225385,11,57.447508
13.808103,17,57.477696
15.992721,6,57.488456
15.724377,5,57.498082
12.697251,6,57.509021
18.651208,9,57.524876
15.365338,7,57.538305
18.992254,7,57.551282
15.456053,7,57.564319
10.661243,5,57.573881
17.277862,7,57.58746
14.342936,5,57.596693
19.448546,15,57.62294
13.904634,7,57.636724
16.818445,7,57.650694
18.402456,8,57.66537
17.926013,6,57.676642
15.388958,8,57.691151
18.055617,10,57.710538
16.736529,8,57.726503
18.078031,9,57.744127
17.049967,12,57.766284
15.45872,10,57.783581
15.833451,5,57.792892
17.714533,9,57.808939
17.168718,6,57.820206
17.625495,12,57.8437
11.325502,7,57.862572
15.175368,5,57.872855
14.97028,7,57.885854
16.864433,7,57.899608
16.405378,7,57.913123
18.156448,13,57.936543
15.710589,10,57.954735
15.14493,8,57.969417
16.903958,15,57.996626
15.835667,9,58.013135
16.984697,7,58.02607
18.932464,15,58.054803
21.570362,14,58.084297
20.522738,10,58.106403
12.447426,9,58.124473
14.92657,5,58.134439
17.560558,7,58.14759
10.824777,10,58.166538
22.461797,17,58.196434
19.547578,9,58.213396
12.511518,6,58.225204
20.738158,14,58.255359
17.464121,13,58.28841
20.789719,10,58.309842
13.445537,12,58.334897
14.601365,13,58.363185
15.698813,6,58.374997
14.5346,9,58.392016
18.293944,16,58.420936
20.079605,12,58.443492
21.77721,11,58.463775
17.286168,11,58.496499
16.283434,7,58.523835
12.506599,9,58.545405
13.699167,19,58.585143
14.040719,9,58.604691
14.70908,6,58.61833
15.209477,5,58.630283
12.680504,10,58.656106
24.46658,15,58.687239
17.437134,9,58.707679
17.424134,10,58.731457
11.578124,8,58.756019
14.326011,6,58.778338
13.236771,9,58.814094
17.343219,14,58.849836
17.563758,6,58.866472
18.396701,10,58.887666
14.174925,6,58.899683
20.61988,8,58.915603
14.22372,5,58.925151
21.228834,10,58.944225
16.441788,8,58.959215
15.890706,9,58.976529
17.522386,7,58.989881
19.997613,8,59.015768
16.073702,6,59.033872
11.452124,11,59.057768
17.014911,8,59.076261
14.857654,5,59.090009
16.585824,10,59.113705
18.25174,11,59.146802
16.056201,7,59.159947
15.424313,7,59.173457
19.061183,13,59.208018
17.137285,7,59.223471
14.369345,7,59.236803
17.206094,10,59.360638
18.331729,9,59.38579
19.041598,6,59.399415
18.993918,10,59.42391
18.921911,15,59.452371
18.835286,12,59.475268
